TITLE,file_provided_by_alexia_taylor,,,,
DATA TYPE,CD SPECTRUM,,,,
ORIGIN,JASCO,,,,
OWNER,,,,,
DATE,29/04/2024,,,,
TIME,14:38:30,,,,
SPECTROMETER/DATA SYSTEM,JASCO Corp., J-1500, Rev. 1.00,,
DELTAX,-1,,,,
XUNITS,NANOMETERS,,,,
YUNITS,CD [mdeg],,,,
Y2UNITS,HT [V],,,,
Y3UNITS,ABSORBANCE,,,,
FIRSTX,250,,,,
LASTX,190,,,,
NPOINTS,61,,,,
FIRSTY,-0.31056,,,,
MAXY,56.20002,,,,
MINY,-42.16159,,,,
XYDATA,,,,,
Channel 1,,,,,
,4.94,14.93,25.08,35.02,45.03
250,-0.310564,-0.112003,0.0199744,-0.217282,-0.238716
249,-0.180529,-0.182548,-0.451766,-0.374644,-0.509012
248,-0.794611,-0.783142,-0.988879,-0.72469,-0.526052
247,-0.80135,-1.0767,-1.08592,-0.72999,-0.707271
246,-0.548141,-1.0754,-0.931224,-0.819059,-1.07552
245,-1.23801,-1.46011,-1.31401,-1.3442,-1.62114
244,-1.81371,-2.37453,-2.07321,-2.02878,-2.09052
243,-2.26931,-2.29472,-2.46863,-2.77889,-2.73403
242,-3.03946,-2.82434,-3.16217,-3.5303,-3.64255
241,-4.00365,-4.23845,-4.18756,-4.5765,-4.49884
240,-5.26585,-5.23743,-5.36683,-5.34314,-5.9122
239,-6.30448,-6.46138,-6.50691,-6.78738,-7.0525
238,-7.9451,-8.21588,-8.11782,-8.48037,-8.55609
237,-9.75397,-10.0065,-9.82152,-10.3004,-10.414
236,-11.589,-11.6811,-11.5907,-11.8637,-11.7928
235,-13.8234,-13.8034,-14.0865,-14.1169,-14.004
234,-16.4857,-16.4178,-16.4431,-16.7345,-16.446
233,-19.3905,-18.9292,-19.3717,-19.3659,-18.8191
232,-22.0335,-21.7384,-21.8408,-21.7588,-21.3661
231,-24.7526,-24.772,-24.3568,-24.1654,-23.8822
230,-27.4912,-27.8332,-27.3274,-26.983,-26.5582
229,-29.8396,-30.3003,-29.7035,-29.6121,-29.1683
228,-32.4676,-32.4705,-32.3579,-31.8664,-31.0392
227,-34.5468,-34.662,-34.557,-33.7174,-33.1893
226,-36.7529,-36.9639,-36.4967,-35.8724,-35.0883
225,-38.331,-38.3714,-38.0937,-36.9942,-36.2749
224,-39.6466,-38.8888,-38.5028,-37.8492,-37.4173
223,-40.4381,-39.8005,-38.9494,-38.7661,-37.9494
222,-41.3132,-40.5218,-40.3237,-39.5951,-38.3862
221,-41.3371,-40.6282,-40.1632,-39.4585,-38.9958
220,-41.3278,-41.1934,-39.9889,-39.444,-39.0356
219,-40.5639,-40.8891,-40.2812,-39.6965,-38.3623
218,-40.0889,-40.5113,-39.789,-39.1697,-38.3278
217,-39.9718,-39.7832,-39.7603,-38.6285,-37.7235
216,-39.9813,-39.4546,-38.696,-38.7547,-37.1415
215,-40.0114,-39.2796,-38.381,-38.7914,-37.5402
214,-39.7395,-39.1636,-38.5997,-38.2335,-37.8778
213,-39.938,-39.2731,-38.9767,-38.5401,-38.1752
212,-40.1063,-39.9024,-39.6528,-39.3731,-38.828
211,-40.8875,-40.9803,-40.1223,-40.4354,-39.8897
210,-41.22,-41.2369,-40.4137,-41.168,-40.4336
209,-42.0773,-42.4564,-41.3609,-41.5438,-40.3581
208,-42.1616,-42.166,-41.4928,-40.7375,-39.4099
207,-39.5178,-40.6125,-39.4696,-39.3948,-37.5807
206,-35.5466,-35.284,-35.3217,-34.7432,-33.8556
205,-29.4375,-29.067,-29.3651,-27.9359,-27.4983
204,-21.9418,-22.1546,-21.9427,-21.0557,-20.8334
203,-14.1719,-13.8926,-14.0291,-13.1126,-13.7471
202,-3.9919,-4.37746,-4.97008,-3.49263,-4.30261
201,5.40924,6.31573,6.04336,6.28269,6.4188
200,18.5727,19.0653,18.4426,17.3734,18.8197
199,31.7433,34.1894,30.4162,30.3747,29.3824
198,46.0352,46.3808,40.5565,39.7165,33.0686
197,55.7716,51.5093,45.0221,38.8344,24.7842
196,56.2,45.7549,35.6237,21.9897,14.2663
195,44.7295,33.3049,20.128,8.33964,3.17784
194,24.5966,12.8403,5.55315,2.3517,-1.7268
193,8.14538,0.111888,1.61549,-0.0267997,-4.34151
192,1.48841,-2.94997,-0.3262,-5.11029,-2.46526
191,-0.20793,-1.7092,0.638167,-3.6411,1.98603
190,3.28662,5.56765,5.1577,-1.96621,0.407761
Channel 2,,,,,
,4.94,14.93,25.08,35.02,45.03
250,312.353,313.078,313.537,313.886,314.183
249,312.733,313.383,313.844,314.212,314.564
248,313.166,313.841,314.255,314.683,315.038
247,313.545,314.203,314.651,315.079,315.449
246,313.926,314.571,315.104,315.493,315.837
245,314.346,315.026,315.562,315.933,316.245
244,314.796,315.535,316.012,316.39,316.686
243,315.319,316.09,316.486,316.919,317.193
242,315.953,316.722,317.105,317.535,317.78
